,tweet,date
0,@chandraa_eve the subtle art of not giving a fuck by mark manson and mindset by carol dweck ^-^,2019-08-06 21:15:16
1,@chandraa_eve Listen to a self-help audiobook and nap,2019-08-05 22:28:58
2,RT @emilyca5: It’s ok if people don’t like you. Most people don’t even like themselves.,2019-07-28 09:25:29
3,I have soo much love for Cardi B,2019-07-25 10:36:26
4,RT @laurasun: Leaves are reborn as they start to die,2019-07-21 21:49:32
5,You just don't like it? That's not a problem. Why is your brain treating it like a problem?,2019-07-21 21:27:37
6,you're way too comfortable if you ask me for help with a whiny nasty attitude and you're stupid if you expect me to,2019-07-21 09:01:57
7,Just watched a guy with a foley catheter and pee bag sneak out of the hospital with his friend,2019-07-13 10:49:39
8,False evidence appearing real...,2019-07-11 08:25:44
9,Skinny bitch summer don't jinx me,2019-07-09 03:38:30
10,RT @HunterIsobel: My father died yesterday. My sister found this instruction in his notebook. His writing is shaky as he had Parkinson’s an…,2019-06-29 20:22:43
11,I will probably never truly get along with my mom and I guess adulthood is accepting that and no longer allowing that relationship affect how I value my worth,2019-06-25 20:34:16
12,@eimilesine December 30!,2019-06-24 07:20:08
13,"Person: *does something fucked up to me*
Me: *confronts them about it*
Person: *gets upset* why are you making me feel bad??
Me: https://t.co/ZKZqiJqVw3",2019-06-23 22:42:38
14,"RT @JamesClear: Your body adapts to what you eat.

Your mind adapts to what you consume.

Your soul adapts to what you love.

What you feed…",2019-06-22 22:01:11
15,Mood in bleck!,2019-06-16 23:31:08
16,"Girl 1: u want some juice?
Girl 2: it’s chill bruh
Girl 1: is that a yes or no
Girl 2: it’s chill bruh",2019-06-16 05:24:31
17,RT @cottoncandaddy: https://t.co/aBqBA7lsnd,2019-06-05 05:39:13
18,RT @idillionaire: Make peace with yourself so your heart can expand and your mind can be at ease. Self-forgiveness is knowing that you’re n…,2019-06-03 19:17:25
19,Fml,2019-05-25 10:14:23
20,Ate too many pickles today and I'm having the WORST stomach cramps,2019-05-25 10:14:14
21,Might fuck around n eat 10 leggo my eggo waffles idk,2019-05-21 01:00:57
22,You know like when you stop working out cus you're stressed and then u get even more stressed bc you haven't worked out?,2019-05-20 05:54:42
23,@senseicourt That makes so much sense hahah,2019-05-15 09:45:09
24,Why do I feel way drunker when I drink at home than when I'm out 🤷🏻‍♀️,2019-05-15 08:12:22
25,RT @yung_starbucks: Girls after they guess your sign correctly https://t.co/j5yEFbpGgO,2019-05-06 01:57:52
26,Keeping my cool and controlling my thoughts,2019-05-02 23:43:45
27,The internet is like the wild West,2019-05-01 21:56:10
28,@AntennaButt Had to!!!,2019-04-15 03:28:47
29,@AntennaButt Me too,2019-04-15 03:03:08
30,RT @hudsonwisler: APRIL FOOLS LMAOOOOOO https://t.co/txdTiV5fIn,2019-04-02 22:54:18
31,I just scarfed down two chocopies..,2019-03-28 00:19:46
32,RT @WolfOfBealeSt: The way he threw the lid off I just know whatever the fuck this is SLAPS https://t.co/ocmqUVcbCd,2019-03-25 08:36:02
33,"i'll only say ""I wish"" for things i know will never happen, things i'll never let myself have",2019-03-17 18:55:10
34,"RT @ronaldkimm: Nobody:

Me being extra: https://t.co/RAloQiCGDD",2019-03-04 00:44:09
35,Girls like us love hujicam,2019-03-03 10:43:02
36,I love my friends 😊,2019-02-24 23:02:03
37,I have a bad habit of opening Twitter whenever I get stuck on a hw problem. It happens often.,2019-02-22 20:55:20
38,Apocalyptic weather foreal,2019-02-22 18:58:03
39,"RT @djsnake: 2 things define you: Your patience when you have nothing, and your attitude when you have everything.",2019-02-13 18:43:43
40,"""When men and women date, men damage women for the next person, but women heal men for the next woman"" #SeemsTrue",2019-02-08 20:55:13
41,Don’t let them dim your light. Stay focused 🕷,2019-02-08 19:53:11
42,#MakeANewFriendIn4Words You want a piece?,2019-02-06 23:22:22
43,@wilrealms Haha you know what to do Will !!,2019-02-06 06:33:43
44,@wilrealms I quit dairy before the video ended,2019-02-05 21:00:40
45,I'm fucking shook. Seeing the truth is some other shit than just reading about it 😭 https://t.co/6Z6e0kuOq2,2019-02-05 20:13:45
